mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_criterion,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
5.337479019165039,0.41741411066181655,1.321786594390869,0.02563599678099547,9,15,2,60,log_loss,"{'min_samples_split': 9, 'min_samples_leaf': 15, 'max_features': 2, 'max_depth': 60, 'criterion': 'log_loss'}",0.826048742106918,0.8263749521949317,0.8226703796838668,0.841813796247725,0.8296585756857519,0.8293132891838386,0.006630252455605321,9
14.69826693534851,0.45266111680468657,1.2919756889343261,0.01423310248614766,9,8,14,40,gini,"{'min_samples_split': 9, 'min_samples_leaf': 8, 'max_features': 14, 'max_depth': 40, 'criterion': 'gini'}",0.9242751947934223,0.9213996847342919,0.9223152136629896,0.9239183880204033,0.9240643277227586,0.9231945617867732,0.0011351670935397008,5
24.635518407821657,0.8459591029132857,1.315127420425415,0.02436565822704208,9,13,17,100,entropy,"{'min_samples_split': 9, 'min_samples_leaf': 13, 'max_features': 17, 'max_depth': 100, 'criterion': 'entropy'}",0.9264382938039262,0.9267536463694762,0.9260642101956784,0.9256823688402841,0.9262748294587199,0.926242669733617,0.00035949549230773954,4
32.70205459594727,0.6107821783354329,1.3058056354522705,0.008687828079766998,3,13,23,90,entropy,"{'min_samples_split': 3, 'min_samples_leaf': 13, 'max_features': 23, 'max_depth': 90, 'criterion': 'entropy'}",0.9270658084342849,0.9277452800393562,0.9274757754047994,0.927998569928739,0.9283396326893602,0.9277250132993078,0.00043581453555729775,3
37.023368740081786,0.24298258383404442,1.3032116889953613,0.037315198333297335,7,13,30,110,entropy,"{'min_samples_split': 7, 'min_samples_leaf': 13, 'max_features': 30, 'max_depth': 110, 'criterion': 'entropy'}",0.9275534835909633,0.9281986335057254,0.9277678821328331,0.9280280985015349,0.9284845723824708,0.9280065340227054,0.00032499148597224645,1
4.991009330749511,0.5458885202283038,1.28653883934021,0.01827973138814425,9,13,2,20,log_loss,"{'min_samples_split': 9, 'min_samples_leaf': 13, 'max_features': 2, 'max_depth': 20, 'criterion': 'log_loss'}",0.836892734184876,0.83435875320835,0.7906373219807624,0.8222271941594206,0.8543352875460707,0.8276902582158959,0.02117487723676308,10
21.79733600616455,0.2671923033547468,1.2830384731292725,0.028584743984858368,3,13,26,20,gini,"{'min_samples_split': 3, 'min_samples_leaf': 13, 'max_features': 26, 'max_depth': 20, 'criterion': 'gini'}",0.9148171157367946,0.9155826877710954,0.9152430265756142,0.9163945368947018,0.9161559024482587,0.915638653885293,0.000578529740522192,7
32.14545879364014,0.7539140234960704,1.319649839401245,0.01669659686853958,3,18,23,60,entropy,"{'min_samples_split': 3, 'min_samples_leaf': 18, 'max_features': 23, 'max_depth': 60, 'criterion': 'entropy'}",0.9276941555363244,0.9277442664274769,0.9274861517464735,0.9277645062288828,0.9282351953473312,0.9277848550572978,0.00024589345640670595,2
17.804882764816284,0.722902531352446,1.3018020153045655,0.026924646449235572,8,18,11,110,entropy,"{'min_samples_split': 8, 'min_samples_leaf': 18, 'max_features': 11, 'max_depth': 110, 'criterion': 'entropy'}",0.9196432117870557,0.9201706577726262,0.9223958780188488,0.9196592842954354,0.9224302921012746,0.9208598647950481,0.0012823589938465282,6
13.599357748031617,0.8803885191428761,1.3089963436126708,0.02662649233788961,8,15,8,100,log_loss,"{'min_samples_split': 8, 'min_samples_leaf': 15, 'max_features': 8, 'max_depth': 100, 'criterion': 'log_loss'}",0.9111918379126827,0.9141791853144683,0.9128851697129001,0.9179256604114848,0.907758127014424,0.912787996073192,0.003352245477168242,8
