mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_var_smoothing,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2.2446786880493166,0.01457280685768224,3.729800224304199,0.05632788807868084,2.848035868435799e-08,{'var_smoothing': np.float64(2.848035868435799e-08)},0.1115503311164266,0.110972734888177,0.13694641261179552,0.13933576373486917,0.11077018670785906,0.12191508581182546,0.01327247350221936,5
2.295134258270264,0.05099485257257731,3.7786417484283445,0.036323354798329134,1.5199110829529332e-05,{'var_smoothing': np.float64(1.5199110829529332e-05)},0.13692705932360694,0.13803502991890243,0.1370548289720399,0.13829727014642554,0.1370814665899947,0.13747913099019388,0.0005694431667413615,1
2.309079122543335,0.04030156357448567,3.74306960105896,0.041375651879360764,4.3287612810830526e-07,{'var_smoothing': np.float64(4.3287612810830526e-07)},0.1262991954048503,0.11985993808037325,0.1273926497978972,0.1284663026523689,0.11899952578102774,0.12420352234330348,0.0039669126518048076,3
2.2830638885498047,0.04797448567956264,3.721745014190674,0.03968715371069209,8.111308307896872e-05,{'var_smoothing': np.float64(8.111308307896872e-05)},0.12460473808032185,0.12533923023468646,0.12443892683385303,0.12680382924960984,0.12498371587161541,0.1252340880540173,0.0008445343432283178,2
2.277023267745972,0.044827172522045704,3.7302488327026366,0.031968312709269614,0.0001,{'var_smoothing': np.float64(0.0001)},0.1232116151070919,0.12393622554590286,0.12278050692737799,0.1254032409708445,0.12352285902955314,0.12377088951615407,0.0008996746004449783,4
2.279490613937378,0.04172277581804956,3.7534811019897463,0.039080108836737765,0.0002848035868435802,{'var_smoothing': np.float64(0.0002848035868435802)},0.11577683094214183,0.11639373979689709,0.11481212901606859,0.1190803626802331,0.11653031110759059,0.11651867470858623,0.0014170829034663953,6
2.3112176418304444,0.06324335433631034,3.7243723392486574,0.03842397870863185,0.01,{'var_smoothing': np.float64(0.01)},0.053144991496195726,0.052625885131425236,0.05513919913537305,0.054171456075728285,0.053291554618227356,0.053674617291389934,0.0008853167109229986,8
2.3020441055297853,0.0554364631267922,3.733118200302124,0.05388807495647577,5.336699231206302e-08,{'var_smoothing': np.float64(5.336699231206302e-08)},0.1122666084003249,0.11244994152559763,0.11284682359239238,0.11984603100360461,0.11194189347625143,0.11387025959963419,0.0030021612761382734,7
2.2733210563659667,0.04603197201921772,3.7630917549133303,0.053550889451006375,0.12328467394420659,{'var_smoothing': np.float64(0.12328467394420659)},0.03903276201059297,0.04181024294873228,0.03908341908959351,0.04679862480473938,0.038695167679077665,0.041084043306547156,0.003069227479216924,9
2.297657680511475,0.06745622188713238,3.7659968376159667,0.03384870212816251,1.0,{'var_smoothing': np.float64(1.0)},0.02382239372495807,0.03322713252619199,0.015440737328144584,0.02446743362714603,0.027868857137492323,0.024965310868786596,0.005813087312431949,10
